data,q_m3s
1932-06-25,79.1435
1932-06-26,77.9502
1932-06-27,79.7414
1932-06-28,80.9397
1932-06-29,82.1411
1932-06-30,84.5537
1932-07-01,93.7115
1932-07-02,93.7115
1932-07-03,94.328
1932-07-04,93.0957
1932-07-05,93.0957
1932-07-06,90.0278
1932-07-07,85.7648
1932-07-08,83.9494
1932-07-09,79.7414
1932-07-10,74.9815
1932-07-11,70.8612
1932-07-12,69.1085
1932-07-13,63.3252
1932-07-14,58.7666
1932-07-15,58.7666
1932-07-16,56.5109
1932-07-17,53.7143
1932-07-18,52.049
1932-07-19,51.496
1932-07-20,51.496
1932-07-21,50.3932
1932-07-22,49.2949
1932-07-23,48.7474
1932-07-24,48.7474
1932-07-25,46.5686
1932-07-26,45.4861
1932-07-27,48.201
1932-07-28,49.2949
1932-07-29,50.944
1932-07-30,49.2949
1932-07-31,48.201
1932-08-01,46.5686
1932-08-02,49.2949
1932-08-03,51.496
1932-08-04,55.3892
1932-08-05,68.5261
1932-08-06,74.9815
1932-08-07,105.549
1932-08-08,137.18
1932-08-09,139.827
1932-08-10,136.52
1932-08-11,131.259
1932-08-12,119.563
1932-08-13,111.88
1932-08-14,108.073
1932-08-15,96.1821
1932-08-16,82.7431
1932-08-17,80.3401
1932-08-18,72.0341
1932-08-19,63.8994
1932-08-20,61.0381
1932-08-21,58.7666
1932-08-22,56.5109
1932-08-23,54.8299
1932-08-24,54.2716
1932-08-25,54.2716
1932-08-26,54.2716
1932-08-27,54.2716
1932-08-28,53.1581
1932-08-29,52.049
1932-08-30,54.8299
1932-08-31,56.5109
1932-09-01,57.6367
1932-09-02,59.333
1932-09-03,59.9004
1932-09-04,61.6085
1932-09-05,63.3252
1932-09-06,65.0505
1932-09-07,66.7842
1932-09-08,69.1085
1932-09-09,72.0341
1932-09-10,76.1665
1932-09-11,93.0957
1932-09-12,124.737
1932-09-13,126.687
1932-09-14,131.914
1932-09-15,137.841
1932-09-16,140.49
1932-09-17,143.148
1932-09-18,145.815
1932-09-19,149.832
1932-09-20,144.48
1932-09-21,141.81799999999996
1932-09-22,137.18
1932-09-23,129.95
1932-09-24,126.687
1932-09-25,123.44
1932-09-26,111.88
1932-09-27,103.036
1932-09-28,86.9789
1932-09-29,82.1411
1932-09-30,63.3252
1932-10-01,61.0381
1932-10-02,63.8994
1932-10-03,70.8612
1932-10-04,78.5465
1932-10-05,85.1589
1932-10-06,93.0957
1932-10-07,101.158
1932-10-08,107.441
1932-10-09,115.71
1932-10-10,123.44
1932-10-11,126.036
1932-10-12,123.44
1932-10-13,119.563
1932-10-14,113.792
1932-10-15,90.6399
1932-10-16,89.4165
1932-10-17,101.783
1932-10-18,122.145
1932-10-19,131.914
1932-10-20,136.52
1932-10-21,136.52
1932-10-22,131.914
1932-10-23,127.338
1932-10-24,119.563
1932-10-25,109.973
1932-10-26,98.6643
1932-10-27,86.9789
1932-10-28,72.6219
1932-10-29,69.1085
1932-10-30,62.1798
1932-10-31,59.9004
1932-11-01,58.7666
1932-11-02,56.5109
1932-11-03,53.1581
1932-11-04,50.3932
1932-11-05,52.049
1932-11-06,55.3892
1932-11-07,57.6367
1932-11-08,70.2761
1932-11-09,84.5537
1932-11-10,87.5872
1932-11-11,91.2527
1932-11-12,88.806
1932-11-13,85.1589
1932-11-14,80.3401
1932-11-15,73.8
1932-11-16,66.7842
1932-11-17,62.1798
1932-11-18,57.6367
1932-11-19,54.2716
1932-11-20,57.6367
1932-11-21,61.0381
1932-11-22,67.9445
1932-11-23,127.338
1932-11-24,168.83599999999996
1932-11-25,193.852
1932-11-26,206.58900000000003
1932-11-27,222.354
1932-11-28,246.384
1932-11-29,283.616
1932-11-30,351.601
1932-12-01,344.12
1932-12-02,315.46
1932-12-03,291.9790000000001
1932-12-04,279.851
1932-12-05,269.356
1932-12-06,261.905
1932-12-07,252.277
1932-12-08,241.25
1932-12-09,231.766
1932-12-10,221.632
1932-12-11,203.746
1932-12-12,188.939
1932-12-13,170.896
1932-12-14,149.161
1932-12-15,133.885
1932-12-16,126.687
1932-12-17,122.792
1932-12-18,120.208
1932-12-19,122.792
1932-12-20,127.338
1932-12-21,129.95
1932-12-22,132.57
1932-12-23,135.201
1932-12-24,137.841
1932-12-25,139.164
1932-12-26,139.164
1932-12-27,133.227
1932-12-28,123.44
1932-12-29,109.339
1932-12-30,73.2105
1932-12-31,64.4745
1933-01-01,65.0505
1933-01-02,68.5261
1933-01-03,68.5261
1933-01-04,66.2054
1933-01-05,64.4745
1933-01-06,61.0381
1933-01-07,58.7666
1933-01-08,56.5109
1933-01-09,56.5109
1933-01-10,55.3892
1933-01-11,57.0733
1933-01-12,59.9004
1933-01-13,62.1798
1933-01-14,64.4745
1933-01-15,66.7842
1933-01-16,69.1085
1933-01-17,67.9445
1933-01-18,65.6275
1933-01-19,64.4745
1933-01-20,63.3252
1933-01-21,61.0381
1933-01-22,57.6367
1933-01-23,53.7143
1933-01-24,50.944
1933-01-25,48.7474
1933-01-26,44.9466
1933-01-27,42.2669
1933-01-28,41.2035
1933-01-29,40.1452
1933-01-30,38.0437
1933-01-31,38.0437
1933-02-01,37.5216
1933-02-02,44.4082
1933-02-03,46.5686
1933-02-04,41.2035
1933-02-05,41.2035
1933-02-06,41.2035
1933-02-07,41.2035
1933-02-08,50.3932
1933-02-09,57.6367
1933-02-10,65.6275
1933-02-11,77.3548
1933-02-12,96.8016
1933-02-13,99.2866
1933-02-14,96.8016
1933-02-15,95.5633
1933-02-16,90.6399
1933-02-17,82.7431
1933-02-18,78.5465
1933-02-19,75.5736
1933-02-20,79.7414
1933-02-21,91.8663
1933-02-22,106.81
1933-02-23,113.792
1933-02-24,120.208
1933-02-25,115.07
1933-02-26,106.81
1933-02-27,100.534
1933-02-28,96.1821
1933-03-01,93.0957
1933-03-02,90.0278
1933-03-03,86.3715
1933-03-04,80.3401
1933-03-05,70.2761
1933-03-06,64.4745
1933-03-07,61.0381
1933-03-08,58.7666
1933-03-09,55.9495
1933-03-10,53.1581
1933-03-11,50.3932
1933-03-12,48.7474
1933-03-13,47.1116
1933-03-14,44.9466
1933-03-15,41.7346
1933-03-16,42.2669
1933-03-17,44.4082
1933-03-18,48.201
1933-03-19,47.6557
1933-03-20,46.5686
1933-03-21,43.8711
1933-03-22,38.0437
1933-03-23,34.417
1933-03-24,33.3932
1933-03-25,33.3932
1933-03-26,33.3932
1933-03-27,32.375
1933-03-28,30.8588
1933-03-29,30.8588
1933-03-30,29.8554
1933-03-31,25.9043
1933-04-01,28.3618
1933-04-02,29.8554
1933-04-03,30.8588
1933-04-04,32.8834
1933-04-05,34.931
1933-04-06,32.8834
1933-04-07,31.3627
1933-04-08,30.3563
1933-04-09,28.8581
1933-04-10,27.3739
1933-04-11,26.8824
1933-04-12,26.8824
1933-04-13,26.8824
1933-04-14,26.8824
1933-04-15,26.8824
1933-04-16,25.9043
1933-04-17,25.9043
1933-04-18,25.9043
1933-04-19,25.9043
1933-04-20,27.867
1933-04-21,30.8588
1933-04-22,29.8554
1933-04-23,29.356
1933-04-24,28.3618
1933-04-25,28.3618
1933-04-26,27.867
1933-04-27,25.9043
1933-04-28,25.9043
1933-04-29,25.4177
1933-04-30,24.9329
1933-05-01,23.9683
1933-05-02,23.0107
1933-05-03,24.9329
1933-05-04,25.4177
1933-05-05,27.3739
1933-05-06,29.8554
1933-05-07,30.8588
1933-05-08,31.8681
1933-05-09,31.8681
1933-05-10,33.3932
1933-05-11,31.3627
1933-05-12,28.8581
1933-05-13,27.867
1933-05-14,27.867
1933-05-15,27.867
1933-05-16,27.867
1933-05-17,27.3739
1933-05-18,26.8824
1933-05-19,26.8824
1933-05-20,26.3925
1933-05-21,25.9043
1933-05-22,25.9043
1933-05-23,25.9043
1933-05-24,25.9043
1933-05-25,25.4177
1933-05-26,24.9329
1933-05-27,23.9683
1933-05-28,23.9683
1933-05-29,23.9683
1933-05-30,23.0107
1933-05-31,22.0604
1933-06-01,21.1175
1933-06-02,21.1175
1933-06-03,20.6489
1933-06-04,20.1822
1933-06-05,20.1822
1933-06-06,19.7174
1933-06-07,18.794
1933-06-08,18.3353
1933-06-09,18.3353
1933-06-10,18.3353
1933-06-11,18.3353
1933-06-12,17.8787
1933-06-13,17.8787
1933-06-14,17.8787
1933-06-15,17.8787
1933-06-16,17.8787
1933-06-17,17.8787
1933-06-18,17.4243
1933-06-19,16.9719
1933-06-20,20.1822
1933-06-21,24.4497
1933-06-22,28.8581
1933-06-23,26.3925
1933-06-24,25.4177
1933-06-25,25.4177
1933-06-26,25.4177
1933-06-27,23.0107
1933-06-28,23.0107
1933-06-29,21.588
1933-06-30,21.1175
1933-07-01,20.1822
1933-07-02,20.1822
1933-07-03,19.7174
1933-07-04,19.2547
1933-07-05,19.2547
1933-07-06,19.2547
1933-07-07,19.2547
1933-07-08,19.2547
1933-07-09,19.2547
1933-07-10,20.1822
1933-07-11,22.0604
1933-07-12,23.9683
1933-07-13,24.9329
1933-07-14,28.8581
1933-07-15,29.8554
1933-07-16,30.8588
1933-07-17,29.8554
1933-07-18,29.356
1933-07-19,28.3618
1933-07-20,26.8824
1933-07-21,24.9329
1933-07-22,23.4886
1933-07-23,23.0107
1933-07-24,21.588
1933-07-25,21.1175
1933-07-26,21.1175
1933-07-27,20.6489
1933-07-28,19.7174
1933-07-29,18.3353
1933-07-30,17.8787
1933-07-31,17.4243
1933-08-01,17.4243
1933-08-02,17.4243
1933-08-03,17.4243
1933-08-04,16.9719
1933-08-05,16.9719
1933-08-06,16.5218
1933-08-07,16.0739
1933-08-08,15.6283
1933-08-09,15.6283
1933-08-10,15.6283
1933-08-11,15.1849
1933-08-12,14.7439
1933-08-13,14.7439
1933-08-14,14.7439
1933-08-15,14.3053
1933-08-16,14.3053
1933-08-17,14.3053
1933-08-18,14.3053
1933-08-19,13.8692
1933-08-20,13.8692
1933-08-21,13.8692
1933-08-22,13.8692
1933-08-23,13.8692
1933-08-24,13.8692
1933-08-25,13.8692
1933-08-26,16.9719
