data,cota_obs_cm
2014-05-23,110.0
2014-05-24,123.0
2014-05-25,150.0
2014-05-26,170.0
2014-05-27,168.0
2014-05-28,164.0
2014-05-29,150.0
2014-05-30,150.0
2014-05-31,145.0
2014-06-01,140.0
2014-06-02,130.0
2014-06-03,128.0
2014-06-04,125.0
2014-06-05,120.0
2014-06-06,118.0
2014-06-07,300.0
2014-06-08,330.0
2014-06-09,362.0
2014-06-10,330.0
2014-06-11,306.0
2014-06-12,300.0
2014-06-13,250.0
2014-06-14,220.0
2014-06-15,200.0
2014-06-16,180.0
2014-06-17,170.0
2014-06-18,180.0
2014-06-19,190.0
2014-06-20,180.0
2014-06-21,170.0
2014-06-22,160.0
2014-06-23,150.0
2014-06-24,145.0
2014-06-25,140.0
2014-06-26,135.0
2014-06-27,130.0
2014-06-28,128.0
2014-06-29,130.0
2014-06-30,128.0
2014-07-01,141.0
2014-07-02,145.0
2014-07-03,141.0
2014-07-04,137.0
2014-07-05,131.0
2014-07-06,135.0
2014-07-07,134.0
2014-07-08,126.0
2014-07-09,123.0
2014-07-10,124.0
2014-07-11,125.0
2014-07-12,127.0
2014-07-13,126.0
2014-07-14,125.0
2014-07-15,124.0
2014-07-16,122.0
2014-07-17,121.0
2014-07-18,120.0
2014-07-19,119.0
2014-07-20,118.0
2014-07-21,117.0
2014-07-22,119.0
2014-07-23,121.0
2014-07-24,122.0
2014-07-25,123.0
2014-07-26,125.0
2014-07-27,127.0
2014-07-28,127.0
2014-07-29,128.0
2014-07-30,129.0
2014-07-31,127.0
2014-08-01,126.0
2014-08-02,124.0
2014-08-03,122.0
2014-08-04,120.0
2014-08-05,118.0
2014-08-06,117.0
2014-08-07,116.0
2014-08-08,115.0
2014-08-09,114.0
2014-08-10,114.0
2014-08-11,114.0
2014-08-12,113.0
2014-08-13,112.0
2014-08-14,130.0
2014-08-15,128.0
2014-08-16,128.0
2014-08-17,143.0
2014-08-18,148.0
2014-08-19,141.0
2014-08-20,134.0
2014-08-21,128.0
2014-08-22,120.0
2014-08-23,118.0
2014-08-24,116.0
2014-08-25,114.0
2014-08-26,117.0
2014-08-27,115.0
2014-08-28,113.0
2014-08-29,111.0
2014-08-30,110.0
2014-08-31,123.0
2014-09-01,129.0
2014-09-02,163.0
2014-09-03,182.0
2014-09-04,180.0
2014-09-05,182.0
2014-09-06,177.0
2014-09-07,168.0
2014-09-08,158.0
2014-09-09,145.0
2014-09-10,132.0
2014-09-11,129.0
2014-09-12,125.0
2014-09-13,120.0
2014-09-14,118.0
2014-09-15,116.0
2014-09-16,114.0
2014-09-17,112.0
2014-09-18,109.0
2014-09-19,124.0
2014-09-20,169.0
2014-09-21,178.0
2014-09-22,188.0
2014-09-23,181.0
2014-09-24,173.0
2014-09-25,163.0
2014-09-26,173.0
2014-09-27,183.0
2014-09-28,193.0
2014-09-29,194.0
2014-09-30,185.0
2014-10-01,198.0
2014-10-02,213.0
2014-10-03,220.0
2014-10-04,218.0
2014-10-05,198.0
2014-10-06,188.0
2014-10-07,178.0
2014-10-08,168.0
2014-10-09,158.0
2014-10-10,148.0
2014-10-11,138.0
2014-10-12,131.0
2014-10-13,127.0
2014-10-14,120.0
2014-10-15,118.0
2014-10-16,116.0
2014-10-17,117.0
2014-10-18,128.0
2014-10-19,145.0
2014-10-20,162.0
2014-10-21,168.0
2014-10-22,171.0
2014-10-23,169.0
2014-10-24,166.0
2014-10-25,161.0
2014-10-26,157.0
2014-10-27,152.0
2014-10-28,147.0
2014-10-29,141.0
2014-10-30,139.0
2014-10-31,137.0
2014-11-01,135.0
2014-11-02,133.0
2014-11-03,129.0
2014-11-04,123.0
2014-11-05,123.0
2014-11-06,132.0
2014-11-07,139.0
2014-11-08,148.0
2014-11-09,160.0
2014-11-10,174.0
2014-11-11,170.0
2014-11-12,166.0
2014-11-13,161.0
2014-11-14,157.0
2014-11-15,153.0
2014-11-16,151.0
2014-11-17,148.0
2014-11-18,143.0
2014-11-19,139.0
2014-11-20,135.0
2014-11-21,131.0
2014-11-22,127.0
2014-11-23,123.0
2014-11-24,119.0
2014-11-25,130.0
2014-11-26,186.0
2014-11-27,164.0
2014-11-28,158.0
2014-11-29,148.0
2014-11-30,133.0
2014-12-01,120.0
2014-12-02,120.0
2014-12-03,123.0
2014-12-04,127.0
2014-12-05,135.0
2014-12-06,129.0
2014-12-07,125.0
2014-12-08,121.0
2014-12-09,119.0
2014-12-10,117.0
2014-12-11,116.0
2014-12-12,114.0
2014-12-13,113.0
2014-12-14,113.0
2014-12-15,113.0
2014-12-16,113.0
2014-12-17,112.0
2014-12-18,111.0
