data,cota_obs_cm
2014-11-14,94.0
2014-11-15,96.0
2014-11-16,105.0
2014-11-17,110.0
2014-11-18,104.0
2014-11-19,95.0
2014-11-20,93.0
2014-11-21,94.0
2014-11-22,95.0
2014-11-23,96.0
2014-11-24,94.0
2014-11-25,94.0
2014-11-26,142.0
2014-11-27,118.0
2014-11-28,114.0
2014-11-29,110.0
2014-11-30,101.0
2014-12-01,99.0
2014-12-02,99.0
2014-12-03,99.0
2014-12-04,109.0
2014-12-05,121.0
2014-12-06,121.0
2014-12-07,129.0
2014-12-08,124.0
2014-12-09,104.0
2014-12-10,100.0
2014-12-11,99.0
2014-12-12,105.0
2014-12-13,104.0
2014-12-14,97.0
2014-12-15,97.0
2014-12-16,95.0
2014-12-17,90.0
2014-12-18,87.0
2014-12-19,88.0
2014-12-20,91.0
2014-12-21,97.0
2014-12-22,139.0
2014-12-23,172.0
2014-12-24,157.0
2014-12-25,152.0
2014-12-26,178.0
2014-12-27,218.0
2014-12-28,184.0
2014-12-29,168.0
2014-12-30,172.0
2014-12-31,168.0
2015-01-01,158.0
2015-01-02,153.0
2015-01-03,147.0
2015-01-04,154.0
2015-01-05,149.0
2015-01-06,145.0
2015-01-07,155.0
2015-01-08,159.0
2015-01-09,176.0
2015-01-10,149.0
2015-01-11,134.0
2015-01-12,136.0
2015-01-13,149.0
2015-01-14,150.0
2015-01-15,152.0
2015-01-16,157.0
2015-01-17,161.0
2015-01-18,151.0
2015-01-19,136.0
2015-01-20,125.0
2015-01-21,152.0
2015-01-22,145.0
2015-01-23,144.0
2015-01-24,145.0
2015-01-25,142.0
2015-01-26,125.0
2015-01-27,121.0
2015-01-28,117.0
2015-01-29,113.0
2015-01-30,112.0
2015-01-31,108.0
2015-02-01,107.0
2015-02-02,109.0
2015-02-03,116.0
2015-02-04,155.0
2015-02-05,187.0
2015-02-06,182.0
2015-02-07,168.0
2015-02-08,166.0
2015-02-09,159.0
2015-02-10,140.0
2015-02-11,114.0
2015-02-12,107.0
2015-02-13,109.0
2015-02-14,156.0
2015-02-15,195.0
2015-02-16,238.0
2015-02-17,228.0
2015-02-18,206.0
2015-02-19,195.0
2015-02-20,186.0
2015-02-21,210.0
2015-02-22,189.0
2015-02-23,173.0
2015-02-24,165.0
2015-02-25,167.0
2015-02-26,154.0
2015-02-27,171.0
2015-02-28,169.0
2015-03-01,159.0
2015-03-02,150.0
2015-03-03,143.0
2015-03-04,138.0
2015-03-05,138.0
2015-03-06,180.0
2015-03-07,186.0
2015-03-08,184.0
2015-03-09,208.0
2015-03-10,197.0
2015-03-11,191.0
2015-03-12,182.0
2015-03-13,167.0
2015-03-14,155.0
2015-03-15,148.0
2015-03-16,151.0
2015-03-17,152.0
2015-03-18,143.0
2015-03-19,142.0
2015-03-20,140.0
2015-03-21,146.0
2015-03-22,146.0
2015-03-23,141.0
2015-03-24,135.0
2015-03-25,120.0
2015-03-26,116.0
2015-03-27,116.0
2015-03-28,127.0
2015-03-29,150.0
2015-03-30,159.0
2015-03-31,154.0
2015-04-01,154.0
2015-04-02,163.0
2015-04-03,161.0
2015-04-04,148.0
2015-04-05,130.0
2015-04-06,120.0
2015-04-07,112.0
2015-04-08,109.0
2015-04-09,107.0
2015-04-10,105.0
2015-04-11,102.0
2015-04-12,99.0
2015-04-13,98.0
2015-04-14,96.0
2015-04-15,94.0
2015-04-16,95.0
2015-04-17,95.0
2015-04-18,98.0
2015-04-19,99.0
2015-04-20,106.0
2015-04-21,119.0
2015-04-22,128.0
2015-04-23,133.0
2015-04-24,131.0
2015-04-25,131.0
2015-04-26,135.0
2015-04-27,137.0
2015-04-28,132.0
2015-04-29,112.0
2015-04-30,108.0
2015-05-01,109.0
2015-05-02,106.0
2015-05-03,101.0
2015-05-04,130.0
2015-05-05,130.0
2015-05-06,125.0
2015-05-07,131.0
2015-05-08,127.0
2015-05-09,125.0
2015-05-10,125.0
2015-05-11,123.0
2015-05-12,120.0
2015-05-13,119.0
2015-05-14,118.0
2015-05-15,116.0
2015-05-16,111.0
2015-05-17,113.0
2015-05-18,117.0
2015-05-19,116.0
2015-05-20,107.0
2015-05-21,106.0
2015-05-22,106.0
2015-05-23,108.0
2015-05-24,104.0
2015-05-25,101.0
2015-05-26,112.0
2015-05-27,164.0
2015-05-28,162.0
2015-05-29,153.0
2015-05-30,151.0
2015-05-31,147.0
2015-06-01,140.0
2015-06-02,117.0
2015-06-03,111.0
2015-06-04,107.0
2015-06-05,105.0
2015-06-06,100.0
2015-06-07,98.0
2015-06-08,97.0
2015-06-09,95.0
2015-06-10,92.0
2015-06-11,91.0
2015-06-12,111.0
2015-06-13,135.0
2015-06-14,125.0
2015-06-15,156.0
2015-06-16,149.0
2015-06-17,140.0
2015-06-18,144.0
2015-06-19,145.0
2015-06-20,128.0
2015-06-21,121.0
