data,cota_obs_cm
2014-09-05,170.0
2014-09-06,168.0
2014-09-07,167.0
2014-09-08,167.0
2014-09-09,167.0
2014-09-10,167.0
2014-09-11,166.0
2014-09-12,167.0
2014-09-13,167.0
2014-09-14,167.0
2014-09-15,167.0
2014-09-16,167.0
2014-09-17,167.0
2014-09-18,167.0
2014-09-19,186.0
2014-09-20,179.0
2014-09-21,166.0
2014-09-22,166.0
2014-09-23,166.0
2014-09-24,174.0
2014-09-25,181.0
2014-09-26,203.0
2014-09-27,202.0
2014-09-28,195.0
2014-09-29,192.0
2014-09-30,200.0
2014-10-01,240.0
2014-10-02,199.0
2014-10-03,171.0
2014-10-04,174.0
2014-10-05,172.0
2014-10-06,172.0
2014-10-07,171.0
2014-10-08,171.0
2014-10-09,171.0
2014-10-10,170.0
2014-10-11,169.0
2014-10-12,169.0
2014-10-13,168.0
2014-10-14,168.0
2014-10-15,168.0
2014-10-16,168.0
2014-10-17,169.0
2014-10-18,169.0
2014-10-19,172.0
2014-10-20,181.0
2014-10-21,170.0
2014-10-22,169.0
2014-10-23,168.0
2014-10-24,167.0
2014-10-25,167.0
2014-10-26,167.0
2014-10-27,167.0
2014-10-28,167.0
2014-10-29,167.0
2014-10-30,166.0
2014-10-31,166.0
2014-11-01,166.0
2014-11-02,170.0
2014-11-03,167.0
2014-11-04,172.0
2014-11-05,170.0
2014-11-06,171.0
2014-11-07,184.0
2014-11-08,179.0
2014-11-09,179.0
2014-11-10,168.0
2014-11-11,167.0
2014-11-12,167.0
2014-11-13,166.0
2014-11-14,174.0
2014-11-15,167.0
2014-11-16,167.0
2014-11-17,167.0
2014-11-18,167.0
2014-11-19,166.0
2014-11-20,169.0
2014-11-21,172.0
2014-11-22,183.0
2014-11-23,175.0
2014-11-24,169.0
2014-11-25,167.0
2014-11-26,177.0
2014-11-27,170.0
2014-11-28,168.0
2014-11-29,167.0
2014-11-30,167.0
2014-12-01,167.0
2014-12-02,167.0
2014-12-03,166.0
2014-12-04,170.0
2014-12-05,166.0
2014-12-06,166.0
2014-12-07,166.0
2014-12-08,165.0
2014-12-09,165.0
2014-12-10,170.0
2014-12-11,168.0
2014-12-12,168.0
2014-12-13,189.0
2014-12-14,171.0
2014-12-15,168.0
2014-12-16,166.0
2014-12-17,166.0
2014-12-18,166.0
2014-12-19,166.0
2014-12-20,166.0
2014-12-21,166.0
2014-12-22,293.0
2014-12-23,226.0
2014-12-24,182.0
2014-12-25,180.0
2014-12-26,173.0
2014-12-27,169.0
2014-12-28,167.0
2014-12-29,236.0
2014-12-30,226.0
2014-12-31,202.0
2015-01-01,183.0
2015-01-02,194.0
2015-01-03,181.0
2015-01-04,175.0
2015-01-05,190.0
2015-01-06,185.0
2015-01-07,180.0
2015-01-08,181.0
2015-01-09,176.0
2015-01-10,176.0
2015-01-11,194.0
2015-01-12,177.0
2015-01-13,187.0
2015-01-14,174.0
2015-01-15,174.0
2015-01-16,171.0
2015-01-17,170.0
2015-01-18,169.0
2015-01-19,168.0
2015-01-20,169.0
2015-01-21,170.0
2015-01-22,168.0
2015-01-23,168.0
